ρ,α,tmax,difference
0.25,0.5,230,0.171312
0.5,0.25,230,0.192225
0,0.5,230,0.263336
0,0.75,230,0.292832
0.75,0.75,230,0.364145
0.25,0.25,230,0.383647
0,1,230,0.384459
0,0.25,230,0.394149
0,0,230,0.495665
0.25,0,230,0.505372
0.75,0,230,0.554764
1,0,230,0.606357
0.5,0,230,0.606452
1,0.25,230,0.717178
0.25,1,230,0.799385
1,0.5,230,0.950497
1,0.75,230,1.10184
0.75,1,230,1.28263
0.5,1,230,1.34302
1,1,230,1.74799
0.25,0.75,220,0.0805071
0.5,0.5,220,0.101211
0.75,0.5,220,0.10131
0.25,0.5,220,0.13122
0.75,0.25,220,0.150914
0.5,0.25,220,0.222535
0.5,0.75,220,0.242423
0,0.75,220,0.283243
0,0.5,220,0.33363
0.25,0.25,220,0.364746
0.75,0.75,220,0.414545
0,0.25,220,0.414857
0,1,220,0.445944
0.75,0,220,0.476371
0.25,0,220,0.537172
0,0,220,0.566454
1,0,220,0.635656
0.5,0,220,0.645167
1,0.25,220,0.717786
0.25,1,220,0.938481
1,0.5,220,1.04971
1,0.75,220,1.18354
0.75,1,220,1.26293
0.5,1,220,1.30183
1,1,220,1.79868
0.25,0.75,210,0.0507121
0.75,0.25,210,0.0914142
0.5,0.5,210,0.121111
0.25,0.5,210,0.122021
0.75,0.5,210,0.131019
0.5,0.75,210,0.242326
0.5,0.25,210,0.25354
0,0.75,210,0.324325
0,0.5,210,0.363037
0.75,0.75,210,0.454534
0.25,0.25,210,0.474553
0,0.25,210,0.485666
0.5,0,210,0.516675
1,0,210,0.565584
0,1,210,0.594363
0.75,0,210,0.637056
0,0,210,0.645359
0.25,0,210,0.717162
1,0.25,210,0.778589
0.25,1,210,0.848093
1,0.5,210,0.970615
0.5,1,210,1.18292
0.75,1,210,1.29333
1,0.75,210,1.35354
1,1,210,1.86769
0.25,0.75,200,0.0712082
0.75,0.5,200,0.101915
0.5,0.5,200,0.111111
0.75,0.25,200,0.141419
0.25,0.5,200,0.20212
0.5,0.75,200,0.232626
0,0.5,200,0.303743
0.5,0.25,200,0.354037
0,0.75,200,0.432532
0,1,200,0.43626
0.75,0.75,200,0.453353
0.25,0.25,200,0.455346
0,0,200,0.535875
1,0,200,0.558364
0,0.25,200,0.566562
0.5,0,200,0.667478
0.75,0,200,0.705574
0.25,0,200,0.716166
0.25,1,200,0.809294
1,0.25,200,0.858885
1,0.5,200,1.06151
0.5,1,200,1.29224
0.75,1,200,1.33335
1,0.75,200,1.35404
1,1,200,1.76878
0.5,0.5,190,0.111113
0.25,0.75,190,0.120816
0.75,0.25,190,0.141928
0.75,0.5,190,0.191512
0.25,0.5,190,0.212028
0,0.75,190,0.253243
0.5,0.75,190,0.262627
0.75,0.75,190,0.335262
0,0.5,190,0.374342
0.5,0.25,190,0.40374
0.25,0.25,190,0.534643
0.75,0,190,0.557374
0,0,190,0.587483
0.25,0,190,0.616569
0,1,190,0.625965
0,0.25,190,0.656162
0.5,0,190,0.747763
1,0,190,0.836362
1,0.25,190,0.888499
0.25,1,190,0.929394
1,0.5,190,1.15083
0.5,1,190,1.22354
0.75,1,190,1.33525
1,0.75,190,1.40384
1,1,190,1.8781
0.25,0.75,180,0.0816132
0.5,0.5,180,0.111314
0.75,0.5,180,0.151216
0.75,0.25,180,0.192822
0.25,0.5,180,0.202819
0.5,0.75,180,0.262737
0,0.75,180,0.324347
0.5,0.25,180,0.374031
0,0.5,180,0.434166
0.25,0.25,180,0.464262
0.75,0.75,180,0.52616
0,1,180,0.596469
0,0.25,180,0.616172
1,0,180,0.636175
0.25,0,180,0.656881
0.75,0,180,0.737383
0,0,180,0.748281
0.5,0,180,0.776282
1,0.25,180,0.849887
0.25,1,180,0.939396
1,0.5,180,1.08271
0.5,1,180,1.35374
1,0.75,180,1.38405
0.75,1,180,1.52545
1,1,180,1.80969
0.75,0.5,170,0.121623
0.5,0.5,170,0.131416
0.25,0.75,170,0.16132
0.5,0.75,170,0.273728
0.25,0.5,170,0.281935
0.75,0.25,170,0.282218
0.5,0.25,170,0.403145
0,0.5,170,0.416558
0.25,0.25,170,0.426155
