0.25,0.75,310,0.000206103
0.5,0.5,260,0.000511388
0.25,0.75,360,0.0100021
0.5,0.5,310,0.0100051
0.5,0.5,360,0.0101001
0.75,0.25,360,0.0107092
0.25,0.5,360,0.0203092
0.25,0.75,260,0.0206103
0.25,0.5,310,0.0309163
0.75,0.5,360,0.0505072
0.75,0.5,310,0.0507152
0.5,0.75,360,0.0509272
0.5,0.5,210,0.0511388
0.25,0.75,210,0.0610318
0.75,0.25,310,0.0709152
0.75,0.5,260,0.0715154
0,0.75,360,0.0815253
0.75,0.25,260,0.0915244
0.25,0.5,260,0.0916325
0.5,0.75,310,0.0927193
0.25,0.75,160,0.103182
0.5,0.5,160,0.113878
0,0.5,360,0.132332
0.75,0.5,210,0.151539
0.75,0.25,210,0.152445
0,0.75,310,0.152526
0.75,0.5,160,0.15387
0.5,0.25,360,0.161922
0.25,0.5,210,0.163248
0.5,0.25,310,0.192224
0.25,0.25,360,0.193426
0.5,0.75,210,0.193457
0.5,0.25,260,0.222438
0,0.5,310,0.233241
0.5,0.25,210,0.243774
0.75,0.25,160,0.244472
0,0.75,260,0.252646
0.75,0.75,360,0.252834
0,0.25,360,0.253233
0.25,0.25,260,0.263963
0,0.75,210,0.264576
0.5,0.75,260,0.271935
0.75,0.75,310,0.283351
0.75,0,360,0.293743
0,1,360,0.313937
0.25,0,360,0.314151
0.5,0,360,0.314857
0.25,0.75,110,0.318221
0,0.25,310,0.323345
0,0.5,260,0.324054
1,0,360,0.324159
0.25,0.5,160,0.324785
0,0.25,260,0.33447
0.75,0.75,260,0.335061
0.25,0.25,310,0.34264
0.5,0.75,160,0.34569
0,1,260,0.365068
0,0,360,0.374249
0.75,0,310,0.374266
0.5,0.25,160,0.377398
0.75,0.5,110,0.386962
0.5,0.5,110,0.387776
0,1,310,0.393651
0.25,0.25,210,0.396273
0,0.5,210,0.405374
0.25,0,310,0.415055
1,0,310,0.415856
0,0,310,0.424863
0.75,0,260,0.426591
1,0.25,360,0.427069
0,0.25,210,0.446993
0.75,0.25,110,0.447175
0,0.75,160,0.457633
0.25,0.5,110,0.478537
0.5,0,310,0.485659
0,0,260,0.486277
0.25,0,260,0.50547
0.75,0.75,210,0.506076
0,1,210,0.506781
0,0.5,160,0.537416
0.25,0,210,0.547002
1,0,210,0.557796
0.5,0,260,0.565894
0.5,0.75,110,0.569022
1,0,260,0.585578
0.5,0,210,0.589402
0.75,0.75,160,0.607611
0.25,1,310,0.607985
0.25,0.25,160,0.627316
0,0,210,0.627705
0.75,0,210,0.659097
0,1,160,0.678062
1,0.25,260,0.688002
0.75,0.5,60,0.696201
0,0.25,160,0.699344
0.25,0,160,0.700151
0.25,1,360,0.70608
1,0.25,310,0.70688
1,0.5,360,0.708803
0.75,0.25,60,0.717529
0.25,0.25,110,0.731637
0.5,0.25,110,0.739798
0,0.5,110,0.741563
0.75,0.75,110,0.761134
0,0.75,110,0.763339
0,0,160,0.770536
0.5,0.5,60,0.777616
1,0,160,0.779551
0.25,1,260,0.798498
1,0.25,210,0.800205
0,1,110,0.806223
0.25,0.75,60,0.822102
0.25,1,210,0.84981
0.25,0.5,60,0.853719
1,0.5,310,0.880293
0.5,0.75,60,0.902201
0.75,0,160,0.909741
1,0.5,210,0.933268
0,0.25,110,0.934353
0.5,0,160,0.94024
1,0,110,0.955129
1,0.75,360,0.970019
0.75,0,110,0.974107
0.5,0.25,60,0.979831
0.25,1,160,0.981034
1,0.75,310,1.00194
0.25,0,110,1.01511
1,0.25,160,1.02049
0.75,1,360,1.02092
0.5,0,110,1.02401
1,0.5,260,1.02933
0.5,1,360,1.04042
0.5,1,310,1.04214
1,0.25,110,1.04895
0,0,110,1.05363
0.75,1,310,1.09203
0.25,1,110,1.10335
0.75,0.75,60,1.11341
0,0.5,60,1.15633
0.25,0.25,60,1.16373
1,0.75,260,1.19405
0.75,1,260,1.20296
0.5,1,260,1.21353
0.75,1,210,1.29639
1,0.5,160,1.3268
0,0.75,60,1.33391
0.25,1,60,1.3352
0.5,1,160,1.33639
1,1,360,1.34357
0.5,1,210,1.35336
1,1,310,1.35681
0,0,60,1.3625
0.5,0,60,1.40117
1,0.75,210,1.40518
0.75,0,60,1.4107
0,0.25,60,1.43534
0.25,0,60,1.51123
1,0,60,1.5129
1,0.75,160,1.51774
0,1,60,1.62231
0.75,1,160,1.63877
0.5,1,110,1.63939
1,0.5,110,1.67972
1,1,260,1.68081
1,0.75,110,1.77421
0.75,1,110,1.87725
1,0.25,60,1.89523
0.5,1,60,1.93881
1,0.5,60,1.97234
1,1,160,2.06361
1,1,210,2.08064
1,1,110,2.36137
1,0.75,60,2.42147
0.75,0.5,10,2.62011
0.75,1,60,2.72473
0.75,0.25,10,2.75294
0.5,0.5,10,2.76162
0.5,0.25,10,2.98315
0.75,0,10,3.0704
0.5,0,10,3.11706
0.25,0,10,3.12314
1,1,60,3.137
0.5,0.75,10,3.2201
0,0,10,3.25
1,0,10,3.29021
0.75,0.75,10,3.34051
0.25,0.5,10,3.37193
0.25,0.25,10,3.37314
1,0.25,10,3.52324
0,0.25,10,3.53374
0,0.5,10,3.63253
0.25,0.75,10,4.2102
1,0.5,10,4.23427
0,0.75,10,4.39132
0.5,1,10,4.88051
1,0.75,10,5.14709
0.75,1,10,5.47253
0.25,1,10,5.5201
0,1,10,6.23082
1,1,10,6.6997
